Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
98,11199200,OverfitteRs99,"2023-11-09 21:32:07",158.683800,24,overfitters99
99,10966660,Barbie,"2023-11-12 17:58:19",158.806731,135,"hrlucy,jayshorey,marijansoric"
100,10981243,"[84] The Hitchhiker's Ensemble","2023-11-12 15:55:18",158.835878,42,"mattiaslunddahlin,simeneidal"
101,11000561,IsakDrage,"2023-11-12 18:10:01",158.852947,49,"isakdrage,thodorsm"
102,10960827,Krøllebølle,"2023-11-12 20:33:18",158.887517,39,"clarahollenbeck,jakobcettihansen,niklasfalke"
103,10967936,PCswappers,"2023-11-12 18:54:17",158.959055,45,"alicemadama,ariannacagali,oliversanchez"
104,10970402,"[group 94] Gosling slayers","2023-11-12 16:23:15",159.115297,82,"andreastallvik,taheeraahmed"
105,10954315,2boyz0girlz,"2023-11-12 19:54:14",159.512402,29,"ebolsson,mathiasravnmunkvold"
106,10953946,Goslefoss,"2023-11-12 20:47:16",159.636832,35,kristianat
107,10964622,"Linear Regrets","2023-11-11 12:54:55",160.038789,25,maxgun
108,11104673,"I drive","2023-11-12 20:29:48",160.128687,55,"akselkatralen,fredrikeiding,kristofferkl"
109,10962639,"Silly Goose Squad","2023-11-12 20:37:33",160.161880,139,"jrgennr,matsamble,thomasphilipfagerli"
110,11198158,"Hard mode any%","2023-11-12 20:09:09",160.211843,17,robinggranstrm
111,11007792,"La MarseillAIse","2023-11-12 18:05:03",160.572904,57,"olaiskogen,remitre,yoann225"
112,10964785,"[53] Snåsamannen","2023-11-11 12:55:45",160.632428,113,"eriktjrandfrland,larsmartinlstad"
113,10986538,[20]DetViktigsteErÅKoseSeg,"2023-11-12 18:58:15",160.738614,38,"martssi,mattiasnyttingnes,sanderklokk"
114,10981801,"Bsahtek le ML","2023-11-12 17:56:22",160.903529,54,"arthurtestard,verdiernahel,vverdon"
115,11001466,96,"2023-11-12 18:05:35",161.143197,58,kristoffereggan
116,10961178,"Gone in 59 seconds","2023-11-12 20:10:55",161.192803,56,"adriankv,ahouse00,arnepu"
117,11197973,team,"2023-11-09 14:35:51",161.347326,28,larshansensorensen
118,11204534,"[Deleted] 590b2d52-8c5d-4379-be09-843ec5f52570","2023-11-11 18:46:05",161.442006,33,del=f883fe88c4a4d6f7
119,10999039,Samh2oman,"2023-11-12 20:06:10",161.495753,26,"denniskrn,samh2oman,wesselterlaak"
120,11009871,"Goup 98","2023-11-12 19:36:38",161.727327,78,"eriksalvesen,jesperelverum"
121,10986406,080,"2023-11-12 20:25:41",161.943340,94,"kristofersejersted,roberthaug"
122,11001352,"kule gutter","2023-11-12 19:25:17",162.189128,68,"madsolaveek,sigurdskatvedt,ulrikrornes"
0,10952993,"[VT] Frostling","2023-09-22 09:15:57",162.288180,1,
123,11010592,"Team hat","2023-11-12 09:07:02",162.303012,88,"andrineterland,hannagausnes,theastadsnes"
124,10953311,"Group 24","2023-11-12 19:55:11",162.323504,23,"einride,ingeborgmklemsdal,sanneolsen"
125,11218285,Gard99,"2023-11-12 13:46:19",162.466155,32,gard99
126,11012775,"Computer Teaching","2023-11-12 04:53:41",162.471736,25,"arkadiuszmikula,hubertmazur,karolinakrl"
127,10982243,"31 - Passive Regressive","2023-11-12 19:35:32",162.712276,68,"n00bsownm3,sebb2o,vastrix"
128,10990760,"Boosting Bandits","2023-11-12 12:03:44",162.761371,108,"aldaraiglesiass,johanneshank,lucasredondo"
129,10977313,"hello world","2023-11-12 18:47:06",162.835564,103,"henrikraa,stinkyelias"
130,10965787,"Group 97","2023-11-12 20:08:11",162.924418,56,"oyvindvangsnes,peringenotland,sebastianaugustberg"
131,11116409,terreta,"2023-11-11 13:26:29",163.249540,13,"celiaigual,davidborregon,lucaspiggy"
132,10984199,"[150] Martin did it in a week","2023-11-12 17:45:09",163.390701,25,"martafix,theonlymartin,vitsimecek"
133,10966319,"Mo' features, mo' problems 😎","2023-11-12 20:23:46",163.416756,41,"erlendjohanrvannebo,goosewhiteatruce,isakherrerasternes"
134,11175478,overfitters,"2023-11-03 11:23:51",163.429467,5,overfitters
0,11099468,"[VT] Ryleena","2023-10-19 23:53:14",163.671764,1,
135,11033999,"Paperclip maximisers","2023-11-12 16:58:22",164.290229,98,"edsonreistad,reeeeeeeeeeeeeee"
136,10953437,"[Group 108]","2023-11-12 15:53:05",164.327045,56,"felixbbo,paulmichiels01"
137,10965114,"Yes we GAN","2023-11-12 20:14:18",164.433600,26,"andreasgranhylieng,gaylordoftheaether,kseniamordovets"
138,10970856,"♡₊˚⋆.✧࿔  Forecast Fairies [27]","2023-11-12 16:39:45",164.511792,79,"annikatorsvik,karenvillmones,milliea"
139,11218107,"Mina Ballz","2023-11-12 15:50:37",164.539637,32,minaballz
140,11129085,"time out error","2023-11-12 16:01:04",164.818550,44,agnethekaasen
141,10986328,"Geese nuts","2023-11-12 20:40:54",165.241482,52,"farhadismayilov,yngvelarsen"
142,11063981,"Logistic Agression","2023-11-12 19:12:39",165.797489,27,"gjermundbae,martinbarthel"
143,10984219,🐥,"2023-11-12 13:57:25",166.008725,31,"karelponcar,miroslam,simonprasek"
144,11231048,fgeiuoshg,"2023-11-12 19:11:40",166.442640,7,fgeiuoshg
145,11184458,"[Deleted] 40717435-6763-484b-870d-9a0fd10d9489","2023-11-04 22:43:12",167.098435,5,del=3a97a0200e077f94
146,10953718,"[017] ignoring error messages","2023-11-12 14:13:03",167.739371,49,"kerinohugo,noehirschauer"
147,10958259,"team 091","2023-11-12 18:08:28",167.998384,17,"ameldk,exur00"
148,10961947,245,"2023-11-12 15:31:53",168.358086,35,karlundheim
149,11000221,"Group 103","2023-11-12 04:24:53",169.622099,3,verloune
150,10965715,"The Turing Tribe [15]","2023-11-12 16:44:02",171.762276,35,"emilymalcolmson,erlingmathiasstaff,thorwiliiamvoster"
151,11232967,"Gin og pikknikk","2023-11-12 19:11:36",173.511516,7,ginogpikknikk
152,10972069,JeanGUN,"2023-11-12 18:25:24",173.543827,29,"del=77874e1babb70399,dzobamat"
153,11038284,group257,"2023-11-12 12:57:52",174.804253,2,torbjrn
154,11078476,Maskinlærling,"2023-11-12 20:04:10",175.009832,32,jonasjohannessen
155,11010172,"wrong user","2023-10-13 12:26:07",177.209787,1,elintoverud
0,10952997,"[VT] Gospion","2023-09-22 09:16:57",177.423164,1,
156,11125507,"Group 057","2023-11-12 20:15:53",177.534024,15,"esgalha,joofitas"
157,10964425,SunnySolvers,"2023-11-12 20:58:29",177.744343,26,"kentrv,randsborg"
158,11005249,"Weekend warrior [180]","2023-11-12 20:46:14",179.733907,23,mariusho
159,11090935,SoloBolo,"2023-11-12 13:17:17",181.261327,17,simonengebu
160,10986256,we,"2023-11-12 16:42:59",188.260319,15,"alexispouillieute1,colinthomasntnu,louiseruyer"
161,11110903,G110,"2023-11-12 20:12:30",188.289084,18,"maylinelepolles,monteroflorian,romaincolombet"
162,11028899,"Team Lyngsvarten","2023-11-12 20:15:55",190.642048,11,minastensaker
0,10952996,"[VT] Kenshi","2023-09-22 09:16:45",192.908502,1,
163,11204225,"[Deleted] 89c265ec-9c74-4242-a9b4-d03f35002376","2023-11-07 15:06:09",193.612096,2,del=ddd8fe8358e70efb
0,10952992,"[VT] Quan Gos Chill","2023-09-22 09:15:48",367.398424,1,
164,11193153,"Group 214","2023-11-12 16:18:49",420.350353,31,lorenamariazvunka
0,10952994,"[VT] Gosborg 2049","2023-09-22 09:16:11",468.251433,1,
165,11204794,Hello,"2023-11-11 19:53:07",566.294399,7,jean952
166,11096918,"Henri00 [175]","2023-10-19 13:38:03",579.469164,1,henri00
167,11016248,havtei,"2023-10-29 20:08:59",609.945396,2,havtei
